GEO_ID,NAME,Gini Index,Unemployment Rate,Cost Of Living Index,Income Per Capita($US),GDP Per Capita($US Millions),ABBR
0400000US01,Alabama,0.4741,2.2,88.8,43288,0.04772,AL
0400000US02,Alaska,0.4376,3.7,124.4,61316,0.07503,AK
0400000US04,Arizona,0.4591,3.5,107.2,48124,0.05247,AZ
0400000US05,Arkansas,0.475,2.6,90.3,44324,0.04429,AR
0400000US06,California,0.4866,4.6,134.5,64919,0.078677,CA
0400000US08,Colorado,0.4548,2.8,105.5,62124,0.06987,CO
0400000US09,Connecticut,0.5024,3.7,113.1,75533,0.08156,CT
0400000US10,Delaware,0.4509,4.2,102.6,54217,0.08035,DE
0400000US12,Florida,0.4808,2.6,102.3,54560,0.052705,FL
0400000US13,Georgia,0.4795,3.2,91,49083,0.06100,GA
0400000US15,Hawaii,0.4397,3,179,54700,0.06549,HI
0400000US16,Idaho,0.4337,2.7,106.1,45924,0.04743,ID
0400000US17,Illinois,0.48,4,90.8,58438,0.07058,IL
0400000US18,Indiana,0.4584,3.2,91.5,48749,0.05721,IN
0400000US19,Iowa,0.4422,2.7,89.7,50367,0.0640429847832219,IA
0400000US20,Kansas,0.45,2.8,87.7,52876,0.0611656690627924,KS
0400000US21,Kentucky,0.4764,3.8,93.8,43875,0.0499100314638068,KY
0400000US22,Louisiana,0.4978,3.6,92,47668,0.0544276644652355,LA
0400000US23,Maine,0.449,2.4,111.5,50728,0.0523876442108834,ME
0400000US24,Maryland,0.4558,2,119.5,62313,0.070334453692554,MD
0400000US25,Massachusetts,0.4803,2.6,148.4,73213,0.0867995269642973,MA
0400000US26,Michigan,0.4634,3.6,92.7,49142,0.0539005915474708,MI
0400000US27,Minnesota,0.4434,2.9,94.1,58543,0.0691240314970906,MN
0400000US28,Mississippi,0.4896,3.1,85.3,39445,0.0391145403002336,MS
0400000US29,Missouri,0.4633,2.6,88.4,49001,0.0549448563795779,MO
0400000US30,Montana,0.4597,2.4,103.7,50289,0.04923492062898,MT
0400000US31,Nebraska,0.44,1.9,90.1,54182,0.0702287211384568,NE
0400000US32,Nevada,0.471,5.4,101.3,52602,0.0606054368674833,NV
0400000US33,NewHampshire,0.4406,1.8,115,64747,0.0646113034313909,NH
0400000US34,NewJersey,0.4782,3.7,114.1,68438,0.0725704358947512,NJ
0400000US35,NewMexico,0.4768,3.,94.2,43530,0.0496793491505507,NM
0400000US36,NewYork,0.5149,3.9,125.1,67366,0.0929036488486607,NY
0400000US37,NorthCarolina,0.4743,3.3,96.1,48741,0.0578766817657067,NC
0400000US38,NorthDakota,0.4558,2,94.6,57110,0.0777023391797518,ND
0400000US39,Ohio,0.4651,3.4,94,50035,0.0604626960159465,OH
0400000US40,Oklahoma,0.4739,2.7,86,48646,0.0515067206709374,OK
0400000US41,Oregon,0.45,3.5,115.1,52718,0.059853542314279,OR
0400000US42,Pennsylvania,0.4745,3.8,99,56952,0.0631858221406064,PA
0400000US44,RhodeIsland,0.4628,2.9,110.5,55830,0.0587453191121818,RI
0400000US45,SouthCarolina,0.4747,3.1,96.5,46681,0.04881784072683,SC
0400000US46,SouthDakota,0.436,1.8,93.8,55294,0.0621992202645313,SD
0400000US47,Tennessee,0.4749,3.2,90.4,49343,0.0564193707760265,TN
0400000US48,Texas,0.4753,4.1,93,54076,0.0649178378128949,TX
0400000US49,Utah,0.4268,2.4,101.5,48580,0.0625103323250024,UT
0400000US50,Vermont,0.4471,1.9,114.9,55442,0.0556636415065009,VT
0400000US51,Virginia,0.469,2.7,103.1,59073,0.0664575991219749,VA
0400000US53,Washington,0.4577,3.8,115.1,64189,0.0798509184567662,WA
0400000US54,WestVirginia,0.4644,3.3,90.3,42951,0.0445972902892452,WV
0400000US55,Wisconsin,0.4391,2.5,95,52893,0.0602712370805749,WI
0400000US56,Wyoming,0.4345,3.1,92.8,64117,0.0694250974930843,WY